k,method,coeff,logp_A,logp_B,logit_diff_A_minus_B,p_A,p_B,top_token_id,top_token,idx,top_is_A,top_is_B,delta_vs_base,p_other
-2.0,exp08/pca_center,-5.517021179199219,-11.062688287347555,-7.835478542372584,-3.227209744974971,1.5686841981607295e-05,0.0003954530286153534,5690,"   
",0,False,False,-2.2272095363593962,0.9995888601294031
-1.5,exp08/pca_center,-4.137765884399414,-9.698331899940968,-5.736785285174847,-3.961546614766121,6.138580736480042e-05,0.003225119467692304,661,ory,0,False,False,-2.9615464061505463,0.9967134947249429
-1.0,exp08/pca_center,-2.7585105895996094,-9.060650065541267,-7.067267462611198,-1.993382602930069,0.00011614744858496857,0.0008525595800634695,248046,<|im_end|>,0,False,False,-0.9933823943144944,0.9990312929713515
-0.5,exp08/pca_center,-1.3792552947998047,-3.3193825492999167,-2.3193644304483314,-1.0000181188515853,0.03617516123829137,0.09833606515605207,198,"
",0,False,False,-1.7910236010720837e-05,0.8654887736056566
0.0,exp08/pca_center,0.0,-1.337977886204044,-0.3379776775884693,-1.0000002086155746,0.2623756860163574,0.7132112083146909,33,B,0,False,True,0.0,0.024413105668951718
0.5,exp08/pca_center,1.3792552947998047,-1.0925648213669774,-0.7175577285506733,-0.37500709281630407,0.3353552633828323,0.48794248994322104,33,B,0,False,True,0.6249931157992705,0.17670224667394668
1.0,exp08/pca_center,2.7585105895996094,-2.377224217329058,-2.6894883639761247,0.3122641466470668,0.09280783467939822,0.06791567859183893,248068,<think>,0,False,False,1.3122643552626414,0.8392764867287629
1.5,exp08/pca_center,4.137765884399414,-5.890591354807839,-7.3263079018797725,1.4357165470719337,0.0027653409156531777,0.0006579985028932465,1919,This,0,False,False,2.4357167556875083,0.9965766605814536
2.0,exp08/pca_center,5.517021179199219,-7.261431945487857,-8.906216407194734,1.6447844617068768,0.0007021019437336922,0.00013554370721358355,12,-,0,False,False,2.6447846703224513,0.9991623543490528
-2.0,exp08/pca_center,-5.517021179199219,-11.01961163058877,-8.77458256110549,-2.24502906948328,1.637734418113824e-05,0.00015461342924829308,5690,"   
",1,False,False,-2.620026923728801,0.9998290092265706
-1.5,exp08/pca_center,-4.137765884399414,-9.895947761833668,-6.7717405036091805,-3.1242072582244873,5.037841432483998e-05,0.0011456988215971878,248046,<|im_end|>,1,False,False,-3.4992051124700083,0.9988039227640779
-1.0,exp08/pca_center,-2.7585105895996094,-9.023538380861282,-8.371277555823326,-0.6522608250379562,0.00012053885837686335,0.00023141971319969544,248046,<|im_end|>,1,False,False,-1.0272586792834772,0.9996480414284235
-0.5,exp08/pca_center,-1.3792552947998047,-3.0679153438541107,-4.317751837486867,1.2498364936327562,0.04651802794165678,0.013329817477620638,248046,<|im_end|>,1,False,False,0.8748386393872352,0.9401521545807225
0.0,exp08/pca_center,0.0,-0.549051225196763,-0.924049079442284,0.374997854245521,0.5774974655829545,0.3969086682917621,32,A,1,True,False,0.0,0.02559386612528347
0.5,exp08/pca_center,1.3792552947998047,-0.7319505215928075,-1.231932998256525,0.49998247666371753,0.4809699323232123,0.2917281223591399,32,A,1,True,False,0.12498462241819652,0.2273019453176478
1.0,exp08/pca_center,2.7585105895996094,-3.0764373616984813,-4.5136808879324235,1.4372435262339422,0.04612328487021056,0.010958050493851514,1919,This,1,False,False,1.0622456719884212,0.9429186646359379
1.5,exp08/pca_center,4.137765884399414,-6.43338697811123,-8.244469409110025,1.8110824309987947,0.0016069987370841558,0.000262707474489488,1919,This,1,False,False,1.4360845767532737,0.9981302937884263
2.0,exp08/pca_center,5.517021179199219,-7.445508100092411,-9.24686361849308,1.801355518400669,0.000584059264432363,9.641356808394162e-05,12,-,1,False,False,1.426357664155148,0.9993195271674836
-2.0,exp08/pca_center,-5.517021179199219,-11.40069404989481,-8.783419776707888,-2.617274273186922,1.118771731335183e-05,0.00015325309666822627,5690,"   
",2,False,False,-1.9922645578863012,0.9998355591860184
-1.5,exp08/pca_center,-4.137765884399414,-10.700601637363434,-7.220793820917606,-3.4798078164458275,2.253137811565675e-05,0.0007312217293250617,248046,<|im_end|>,2,False,False,-2.8547981011452066,0.9992462468925593
-1.0,exp08/pca_center,-2.7585105895996094,-10.567390263080597,-9.467866227030754,-1.0995240360498428,2.5741907217156606e-05,7.729616410897129e-05,248046,<|im_end|>,2,False,False,-0.47451432074922195,0.9998969619286738
-0.5,exp08/pca_center,-1.3792552947998047,-4.854911042610183,-5.539998787455261,0.6850877448450774,0.007790026302896028,0.003926531599397972,248046,<|im_end|>,2,False,False,1.3100974601456983,0.988283442097706
0.0,exp08/pca_center,0.0,-1.1149821283743222,-0.4899724130737013,-0.6250097153006209,0.32792113933107464,0.6126432948967193,33,B,2,False,True,0.0,0.0594355657722061
0.5,exp08/pca_center,1.3792552947998047,-1.3671048889300437,-0.9920586984371766,-0.375046190492867,0.2548436933728855,0.3708125135443341,33,B,2,False,True,0.24996352480775386,0.37434379308278043
1.0,exp08/pca_center,2.7585105895996094,-4.693826006783638,-5.505691016907804,0.8118650101241656,0.00915160498588374,0.004063579608252452,1919,This,2,False,False,1.4368747254247864,0.9867848154058638
1.5,exp08/pca_center,4.137765884399414,-6.941411937470548,-8.689876643009484,1.748464705538936,0.0009669034257368533,0.00016828078355262427,1919,This,2,False,False,2.373474420839557,0.9988648157907106
2.0,exp08/pca_center,5.517021179199219,-7.720359422266483,-9.523045090958476,1.8026856686919928,0.00044370109918510724,7.314658686695627e-05,1919,This,2,False,False,2.4276953839926136,0.9994831523139479
-2.0,exp08/pca_center,-5.517021179199219,-11.609509967267513,-8.895918231457472,-2.7135917358100414,9.07933171919239e-06,0.00013694677223578515,5690,"   
",3,False,False,-2.3385779078798805,0.999853973896045
-1.5,exp08/pca_center,-4.137765884399414,-11.916469506919384,-7.496862471103668,-4.419607035815716,6.679486083925229e-06,0.0005548224134961087,5690,"   
",3,False,False,-4.044593207885555,0.99943849810042
-1.0,exp08/pca_center,-2.7585105895996094,-12.32587656378746,-10.671535819768906,-1.6543407440185547,4.4354718133666605e-06,2.3195881426553582e-05,248046,<|im_end|>,3,False,False,-1.2793269160883938,0.9999723686467601
-0.5,exp08/pca_center,-1.3792552947998047,-9.986603455152363,-10.982710112817585,0.9961066576652229,4.601222411478994e-05,1.6992982167465436e-05,248046,<|im_end|>,3,False,False,1.3711204855953838,0.9999369947937177
0.0,exp08/pca_center,0.0,-5.624541521241554,-5.249527693311393,-0.3750138279301609,0.0036082170477173096,0.005249997422603495,64,a,3,False,False,0.0,0.9911417855296792
0.5,exp08/pca_center,1.3792552947998047,-4.237586737108359,-4.112559558558132,-0.12502717855022638,0.014442403137372967,0.01636583156721245,64,a,3,False,False,0.24998664937993453,0.9691917652954145
1.0,exp08/pca_center,2.7585105895996094,-4.289447445058613,-4.976619020977523,0.6871715759189101,0.01371250011411783,0.0068973429518883285,12,-,3,False,False,1.062185403849071,0.9793901569339938
1.5,exp08/pca_center,4.137765884399414,-6.844410939142108,-8.716743929311633,1.8723329901695251,0.0010653936335500774,0.00016381973208328768,12,-,3,False,False,2.247346818099686,0.9987707866343667
2.0,exp08/pca_center,5.517021179199219,-7.5876987455412745,-9.479271763935685,1.8915730183944106,0.0005066456339769643,7.641956838181048e-05,12,-,3,False,False,2.2665868463245715,0.9994169347976413
-2.0,exp08/pca_center,-5.517021179199219,-11.194361135363579,-8.913041457533836,-2.2813196778297424,1.3751520813309857e-05,0.0001346217643208018,5690,"   
",4,False,False,-2.6563106180601608,0.9998516267148659
-1.5,exp08/pca_center,-4.137765884399414,-10.148616887629032,-7.733430273830891,-2.4151866137981415,3.913016568118935e-05,0.0004379392859139186,661,ory,4,False,False,-2.79017755402856,0.9995229305484048
-1.0,exp08/pca_center,-2.7585105895996094,-9.123399674892426,-9.101070150732994,-0.022329524159431458,0.00010908319882820653,0.00011154637316160918,248046,<|im_end|>,4,False,False,-0.3973204643898498,0.9997793704280102
-0.5,exp08/pca_center,-1.3792552947998047,-8.148424510611221,-9.646733657456934,1.4983091468457133,0.00028919061765639,6.46363470572981e-05,248046,<|im_end|>,4,False,False,1.123318206615295,0.9996461730352862
0.0,exp08/pca_center,0.0,-0.8432445526668744,-1.2182354928972927,0.37499094023041835,0.4303120857780686,0.29575156251832,32,A,4,True,False,0.0,0.2739363517036113
0.5,exp08/pca_center,1.3792552947998047,-1.2582925564747711,-1.3832467828251538,0.12495422635038267,0.2841387634434351,0.2507630567206451,32,A,4,True,False,-0.2500367138800357,0.4650981798359198
1.0,exp08/pca_center,2.7585105895996094,-4.3978891714068595,-4.522345985751599,0.12445681434473954,0.012303282633880003,0.0108635081154436,12,-,4,False,False,-0.2505341258856788,0.9768332092506764
1.5,exp08/pca_center,4.137765884399414,-6.644482561270706,-8.142199106514454,1.4977165452437475,0.0013011815258163436,0.0002909965616453067,1919,This,4,False,False,1.1227256050133292,0.9984078219125383
2.0,exp08/pca_center,5.517021179199219,-7.511209467425942,-9.155966678634286,1.6447572112083435,0.0005469192075667919,0.0001055879103430039,12,-,4,False,False,1.2697662709779252,0.9993474928820902
-2.0,exp08/pca_center,-5.517021179199219,-11.346803426742554,-8.875119552016258,-2.4716838747262955,1.1807171855639402e-05,0.00013982491124476208,5690,"   
",5,False,False,-2.4716826826372653,0.9998483679168996
-1.5,exp08/pca_center,-4.137765884399414,-9.450060859322548,-7.063745204359293,-2.386315654963255,7.868477642388511e-05,0.0008555678098506012,248046,<|im_end|>,5,False,False,-2.3863144628742248,0.9990657474137254
-1.0,exp08/pca_center,-2.7585105895996094,-9.168418541550636,-8.512452848255634,-0.655965693295002,0.00010428129593193705,0.00020095031927231232,248046,<|im_end|>,5,False,False,-0.6559645012059718,0.9996947683847957
-0.5,exp08/pca_center,-1.3792552947998047,-2.9074326988193206,-2.657388006016845,-0.25004469280247577,0.054615765154262974,0.07013116489818196,248046,<|im_end|>,5,False,False,-0.2500435007134456,0.8752530699475551
0.0,exp08/pca_center,0.0,-0.7277209758797198,-0.7277197837906897,-1.19208903015533e-06,0.48300852475950334,0.48300910054901036,32,A,5,True,False,0.0,0.03398237469148635
0.5,exp08/pca_center,1.3792552947998047,-0.7630715370833059,-1.0130615236685117,0.24998998658520577,0.46623217604184947,0.3631056197034577,32,A,5,True,False,0.24999117867423593,0.17066220425469275
1.0,exp08/pca_center,2.7585105895996094,-2.338746559486026,-2.963507967593614,0.6247614081075881,0.09644845489730097,0.05163745655561527,248068,<think>,5,False,False,0.6247626001966182,0.8519140885470837
1.5,exp08/pca_center,4.137765884399414,-5.870351805235259,-7.305780664784834,1.4354288595495746,0.0028218804070666466,0.0006716449771987174,1919,This,5,False,False,1.4354300516386047,0.9965064746157346
2.0,exp08/pca_center,5.517021179199219,-7.2995877200737596,-8.94264537282288,1.6430576527491212,0.0006758173436904075,0.0001306948458832443,12,-,5,False,False,1.6430588448381513,0.9991934878104264
-2.0,exp08/pca_center,-5.517021179199219,-11.018118973821402,-7.63474559225142,-3.3833733815699816,1.6401808188402538e-05,0.0004833615699918363,5690,"   
",6,False,False,-3.5083700437362495,0.9995002366218197
-1.5,exp08/pca_center,-4.137765884399414,-9.68713691085577,-6.138245556503534,-3.548891354352236,6.207688187648862e-05,0.002158707628470515,248046,<|im_end|>,6,False,False,-3.6738880165185037,0.997779215489653
-1.0,exp08/pca_center,-2.7585105895996094,-9.370251625776291,-8.675134688615799,-0.6951169371604919,8.522194168450373e-05,0.00017077994720661856,248046,<|im_end|>,6,False,False,-0.8201135993267599,0.9997439981111089
-0.5,exp08/pca_center,-1.3792552947998047,-2.8771658104815288,-3.5020099248795304,0.6248441143980017,0.056294085058621414,0.03013674990490112,198,"
",6,False,False,0.49984745223173377,0.9135691650364774
0.0,exp08/pca_center,0.0,-0.6494368314934036,-0.7744334936596715,0.12499666216626792,0.5223398593027299,0.46096484655257874,32,A,6,True,False,0.0,0.016695294144691397
0.5,exp08/pca_center,1.3792552947998047,-0.7164599300276677,-0.9664486053570727,0.24998867532940494,0.48847844662039047,0.38043170498081164,32,A,6,True,False,0.12499201316313702,0.13108984839879795
1.0,exp08/pca_center,2.7585105895996094,-2.0739456478331704,-2.761262103012996,0.6873164551798254,0.12568887799705195,0.0632119380157518,12,-,6,False,False,0.5623197930135575,0.8110991839871963
1.5,exp08/pca_center,4.137765884399414,-5.836608835379593,-7.3345331840682775,1.4979243486886844,0.002918723734775742,0.0006526084771572781,12,-,6,False,False,1.3729276865224165,0.9964286677880669
2.0,exp08/pca_center,5.517021179199219,-7.247241896577179,-8.95395734347403,1.706715446896851,0.0007121358269363652,0.0001292247600821397,12,-,6,False,False,1.5817187847305831,0.9991586394129814
-2.0,exp08/pca_center,-5.517021179199219,-11.64708024263382,-9.631627894937992,-2.0154523476958275,8.744547080718888e-06,6.56201401312217e-05,5690,"   
",7,False,False,-4.640452943736818,0.9999256353127881
-1.5,exp08/pca_center,-4.137765884399414,-11.915132317692041,-8.846935952082276,-3.068196365609765,6.688423795134637e-06,0.00014382173853653206,5690,"   
",7,False,False,-5.693196961650756,0.9998494898376683
-1.0,exp08/pca_center,-2.7585105895996094,-12.125980705022812,-9.424947189167142,-2.70103351585567,5.416933351081315e-06,8.068586207572732e-05,248045,<|im_start|>,7,False,False,-5.326034111896661,0.9999138972045731
-0.5,exp08/pca_center,-1.3792552947998047,-8.28627885277092,-10.161354543444759,1.8750756906738388,0.0002519502645644558,3.863490005656013e-05,248045,<|im_start|>,7,False,False,-0.749924905367152,0.999709414835379
0.0,exp08/pca_center,0.0,-7.038291454365208,-9.663292050406199,2.625000596040991,0.0008776247439631709,6.357488532669032e-05,40,I,7,False,False,0.0,0.9990588003707102
0.5,exp08/pca_center,1.3792552947998047,-7.153168216595077,-9.590533900132868,2.4373656835377915,0.0007823813968214245,6.837290755799574e-05,40,I,7,False,False,-0.1876349125031993,0.9991492456956206
1.0,exp08/pca_center,2.7585105895996094,-6.381283293812885,-8.318550181516912,1.9372668877040269,0.0016929490110247501,0.0002439492901517894,760,The,7,False,False,-0.6877337083369639,0.9980631016988234
1.5,exp08/pca_center,4.137765884399414,-6.651012605114374,-8.525163757498376,1.8741511523840018,0.0012927124352650199,0.00019841222293053763,1919,This,7,False,False,-0.750849443656989,0.9985088753418044
2.0,exp08/pca_center,5.517021179199219,-7.901955915614963,-9.797521688044071,1.8955657724291086,0.0003700191060763685,5.558919622748962e-05,12,-,7,False,False,-0.7294348236118822,0.9995743916976961
-2.0,exp08/pca_center,-5.517021179199219,-11.235330164432526,-8.644033074378967,-2.5912970900535583,1.3199519052762351e-05,0.0001761749408707859,5690,"   
",8,False,False,-2.341288745683414,0.9998106255400765
-1.5,exp08/pca_center,-4.137765884399414,-10.333994083106518,-6.764845497906208,-3.5691485852003098,3.2508983770902016e-05,0.0011536257180998597,248046,<|im_end|>,8,False,False,-3.3191402408301656,0.9988138652981292
-1.0,exp08/pca_center,-2.7585105895996094,-10.09151242673397,-8.945440217852592,-1.1460722088813782,4.142970481814291e-05,0.00013033008400671178,248046,<|im_end|>,8,False,False,-0.896063864511234,0.9998282402111751
-0.5,exp08/pca_center,-1.3792552947998047,-5.055243534967303,-5.179019826697186,0.12377629172988236,0.00637581383962936,0.005633525540447662,248046,<|im_end|>,8,False,False,0.37378463610002655,0.9879906606199229
0.0,exp08/pca_center,0.0,-0.8505245451451628,-0.6005162007750187,-0.2500083443701442,0.4271907923120213,0.548528412208619,33,B,8,False,True,0.0,0.024280795479359685
0.5,exp08/pca_center,1.3792552947998047,-0.9179401997535024,-0.9179094450773846,-3.075467611779459e-05,0.3993407566980561,0.3993530384825491,32,A,8,True,False,0.2499775896940264,0.20130620481939487
1.0,exp08/pca_center,2.7585105895996094,-2.9687968617945444,-3.780967354628956,0.8121704928344116,0.051365072451378314,0.022800624463907012,12,-,8,False,False,1.0621788372045557,0.9258343030847147
1.5,exp08/pca_center,4.137765884399414,-6.376062195049599,-8.249484688509256,1.8734224934596568,0.0017018111800104932,0.0002613932215323331,12,-,8,False,False,2.123430837829801,0.9980367955984573
2.0,exp08/pca_center,5.517021179199219,-7.444708744995296,-9.278733437880874,1.8340246928855777,0.0005845263218298904,9.338933198014926e-05,12,-,8,False,False,2.084033037255722,0.99932208434619
-2.0,exp08/pca_center,-5.517021179199219,-10.772208776324987,-7.977010026574135,-2.7951987497508526,2.0974381860882747e-05,0.0003432642406196081,5690,"   
",9,False,False,-3.2951945774616433,0.9996357613775195
-1.5,exp08/pca_center,-4.137765884399414,-8.88702543079853,-6.260074187070131,-2.6269512437283993,0.00013817004367515224,0.0019111040121660365,661,ory,9,False,False,-3.12694707143919,0.9979507259441589
-1.0,exp08/pca_center,-2.7585105895996094,-9.300494849681854,-9.077844694256783,-0.22265015542507172,9.137900141827594e-05,0.00011416740814427868,248046,<|im_end|>,9,False,False,-0.7226459831358625,0.9997944535904374
-0.5,exp08/pca_center,-1.3792552947998047,-4.599396475838148,-5.349336761617451,0.7499402857793029,0.010057904101392203,0.004751301199951903,248046,<|im_end|>,9,False,False,0.24994445806851218,0.9851907946986559
0.0,exp08/pca_center,0.0,-0.5600233078216661,-1.0600191355324569,0.49999582771079076,0.5711957503649754,0.3464491807770842,32,A,9,True,False,0.0,0.08235506885794042
0.5,exp08/pca_center,1.3792552947998047,-0.800972759778233,-1.3009617330953915,0.4999889733171585,0.4488920874961857,0.2722698161852008,32,A,9,True,False,-6.854393632238498e-06,0.2788380963186135
1.0,exp08/pca_center,2.7585105895996094,-2.6357677014602814,-3.8856374245660845,1.2498697231058031,0.07166393177998297,0.020534735244106393,12,-,9,False,False,0.7498738953950124,0.9078013329759106
1.5,exp08/pca_center,4.137765884399414,-6.01531288633123,-7.701512077590451,1.6861991912592202,0.0024410844630882995,0.00045214299045758714,12,-,9,False,False,1.1862033635484295,0.9971067725464541
2.0,exp08/pca_center,5.517021179199219,-7.255323139950633,-9.026568245142698,1.7712451051920652,0.0007064040750383103,0.00012017419471501654,12,-,9,False,False,1.2712492774812745,0.9991734217302467
-2.0,exp08/pca_center,-5.517021179199219,-11.731381677091122,-8.139063641428947,-3.5923180356621742,8.037586735617416e-06,0.0002919104031146832,5690,"   
",10,False,False,-3.217297294031596,0.9997000520101497
-1.5,exp08/pca_center,-4.137765884399414,-11.920511774718761,-6.680026311427355,-5.240485463291407,6.652540310119673e-06,0.0012557449316861484,5690,"   
",10,False,False,-4.865464721660828,0.9987376025280038
-1.0,exp08/pca_center,-2.7585105895996094,-10.77907657623291,-8.45916572958231,-2.3199108466506004,2.083082751856729e-05,0.00021194881956542147,248045,<|im_start|>,10,False,False,-1.944890105020022,0.999767220352916
-0.5,exp08/pca_center,-1.3792552947998047,-11.042651216266677,-12.226095836609602,1.1834446203429252,1.6004330497257038e-05,4.900879708525267e-06,271,"

",10,False,False,1.5584653619735036,0.9999790947897942
0.0,exp08/pca_center,0.0,-1.6592049602477346,-1.2841842186171561,-0.3750207416305784,0.19029020825738843,0.27687636210807065,33,B,10,False,True,0.0,0.532833429634541
0.5,exp08/pca_center,1.3792552947998047,-1.6857099675398786,-2.3730433549790177,0.6873333874391392,0.1853128191547676,0.09319666371515467,40,I,10,False,False,1.0623541290697176,0.7214905171300777
1.0,exp08/pca_center,2.7585105895996094,-4.838259235271835,-6.15054722133209,1.3122879860602552,0.007920830359566835,0.002132314602680083,2523,You,10,False,False,1.6873087276908336,0.9899468550377531
1.5,exp08/pca_center,4.137765884399414,-6.729542974324431,-8.260109285824,1.5305663114995696,0.0011950790151448903,0.00025863072500564903,2523,You,10,False,False,1.905587053130148,0.9985462902598494
2.0,exp08/pca_center,5.517021179199219,-7.707305400632322,-9.170011443085968,1.4627060424536467,0.0004495311529669058,0.00010411531832362926,12,-,10,False,False,1.837726784084225,0.9994463535287095
